"notes","match_name","user_agent_sub","docs_url"
"","http_user_agent_random_alittlecli","ALittle Client",""
"","http_user_agent_random_fidgetspinner","fidget-spinner-bot",""
"","http_user_agent_random_tinybot","tiny-bot",""
