"file","kind","match"
"crawler","*","ptr_crawler"
"hosting","*","ptr_hosting"
"isp_base","*","ptr_isp_base"
"isp_cgnat","*","ptr_isp_cgnat"
"isp_copper","*","ptr_isp_copper"
"isp_dynamic","*","ptr_isp_dynamic"
"isp_satellite","*","ptr_isp_satellite"
"isp_static","*","ptr_isp_static"
"isp_wireless","*","ptr_isp_wireless"
