"organization","match_name","ptr_end","docs_url"
"Amazon","ptr_hosting_amazon_aws",".amazonaws.com",""
"Huawei","ptr_hosting_huawei_cloud",".hwclouds-dns.com",""
"Golemtech","ptr_hosting_golemtech",".golemtech.sk",""
"Akamai","ptr_hosting_akamai",".akamaitechnologies.com",""
"VDSina","ptr_hosting_vdsina",".hosted-by-vdsina.ru",""
