"organization","match_name","ptr_end","docs_url"
"Telekom Austria","ptr_isp_at_telekom_adsl",".adsl.highway.telekom.at",""
"Proximus","ptr_isp_be_belgacom_adsl",".adsl-dyn.isp.belgacom.be",""
"?","ptr_isp_unknown_rcn_cable",".cable.rcncustomer.com",""
