"organization","match_name","ptr_end","docs_url"
"Bouygues Telecom","ptr_isp_fr_telecom_bouygues",".dyn.abo.bbox.fr",""
"Drei","ptr_isp_drei",".dyn.drei.com",""
"Acens Technologies","ptr_isp_acenstech",".dynamicip.rima-tde.net",""
"UPC","ptr_isp_ch_upc",".dynamic.upc.ch",""
