"asn","match_name","organization","comment"
"4616","src_asn_edu_","The Hong Kong Polytechnic University",""
"4665","src_asn_edu_","Yonsei University",""
"4730","src_asn_edu_","Osaka University",""
"4762","src_asn_edu_","Mahidol University Thailand",""
"5379","src_asn_edu_","Univerzitet 'Sv. Kiril i Metodij'",""
"5421","src_asn_edu_","Sofia University 'St. Kliment Ohridski'",""
"5468","src_asn_edu_","Yeltsin UrFU Ural Federal University",""
"5479","src_asn_edu_","University Network in Vilnius",""
"5489","src_asn_edu_","International Hellenic University",""
"5495","src_asn_edu_","Saint Petersburg State University",""
"5520","src_asn_edu_","Universitaet zu Koeln",""
"5548","src_asn_edu_","Federal State Budget Educational Establishment of Higher Education 'Russian University Of Transport (MIIT)'",""
"5550","src_asn_edu_","Gdansk University of Technology Academic Computer Center TASK",""
"5627","src_asn_edu_","Shahrood University of Technology",""
"5653","src_asn_edu_","University of California San Francisco",""
"5692","src_asn_edu_","Universidad Nacional de La Plata (UNLP)",""
"5719","src_asn_edu_","State University of New York at Stony Brook",""
"5723","src_asn_edu_","Johns Hopkins University",""
"5739","src_asn_edu_","UCSC",""
"5786","src_asn_edu_","University of Puerto Rico",""
"6059","src_asn_edu_","University of Maryland",""
"6106","src_asn_edu_","University of California Riverside",""
"6192","src_asn_edu_","University of California at Davis",""
"6200","src_asn_edu_","University of Illinois Chicago",""
"6360","src_asn_edu_","University of Hawaii",""
"6510","src_asn_edu_","Brigham Young University",""
"6579","src_asn_edu_","Memorial University of Newfoundland",""
"6867","src_asn_edu_","University of Crete",""
"6868","src_asn_edu_","Federal State Autonomous Educational Institution of Higher Education 'Bauman Moscow State Technical University'",""
"6874","src_asn_edu_","Perm National Research Polytechnic University",""
"7150","src_asn_edu_","Commonwealth University of Pennsylvania",""
"7276","src_asn_edu_","University of Houston AS7276",""
"7377","src_asn_edu_","UCSD",""
"7560","src_asn_edu_","Jeonbuk National University",""
"7575","src_asn_edu_","AARNet",""
"7624","src_asn_edu_","jeonju university",""
"7651","src_asn_edu_","Lingnan University",""
"7896","src_asn_edu_","University of Nebraska",""
"7915","src_asn_edu_","Daytona State College Inc",""
"7939","src_asn_edu_","University of Central Florida",""
"8094","src_asn_edu_","North West University",""
"8111","src_asn_edu_","Dalhousie University",""
"8253","src_asn_edu_","Democritus University of Thrace",""
"8256","src_asn_edu_","Lodz University of Technology",""
"8267","src_asn_edu_","Academic Computer Centre CYFRONET AGH",""
"8278","src_asn_edu_","Technical University of Crete",""
"8286","src_asn_edu_","ZUT ACI Educational AS",""
"8323","src_asn_edu_","CYFRONET-AS2",""
"8466","src_asn_edu_","Ihsan Dogramaci Bilkent University",""
"8508","src_asn_edu_","SASK-EDU",""
"8517","src_asn_edu_","ULAKNET",""
"8524","src_asn_edu_","The American University in Cairo (AUC)",""
"8581","src_asn_edu_","University Of Ioannina",""
"8605","src_asn_edu_","University of Latvia",""
"8611","src_asn_edu_","Athens University of Economics and Business",""
"8618","src_asn_edu_","Ionion University",""
"8643","src_asn_edu_","NATIONAL AND KAPODISTRIAN UNIVERSITY OF ATHENS",""
"8664","src_asn_edu_","University of Warsaw ICM",""
"8670","src_asn_edu_","University of Sarajevo",""
"8790","src_asn_edu_","Federal State Budgetary Educational Institution of Higher Education 'Petrozavodsk State University'",""
"8890","src_asn_edu_","University of Warsaw",""
"9103","src_asn_edu_","Uniwersytet Zielonogorski",""
"9112","src_asn_edu_","POZMAN",""
"9271","src_asn_edu_","Wonkwang University",""
"9274","src_asn_edu_","Pusan National University",""
"9317","src_asn_edu_","INHA UNIVERSITY",""
"9321","src_asn_edu_","Hanyang University",""
"9411","src_asn_edu_","NontriNet",""
"9431","src_asn_edu_","The University of Auckland",""
"9432","src_asn_edu_","University of Canterbury",""
"9433","src_asn_edu_","Massey University",""
"9452","src_asn_edu_","Korea University",""
"9459","src_asn_edu_","Konkuk University",""
"9464","src_asn_edu_","Prince of Songkla University (Sritrang'NET)",""
"9475","src_asn_edu_","Walailuk University",""
"9486","src_asn_edu_","King Mongkut's Institute of Technology Ladkrabang",""
"9488","src_asn_edu_","Seoul National University",""
"9523","src_asn_edu_","Mokwon University",""
"9533","src_asn_edu_","King Mongkut's Institute of Technology North Bangkok",""
"9546","src_asn_edu_","Ministry of University Affairs",""
"9551","src_asn_edu_","King Mongkut's University of Technology",""
"9562","src_asn_edu_","Mahasarakham University",""
"9572","src_asn_edu_","Hankuk University of Foreign Studies Computer Center",""
"9686","src_asn_edu_","SKKU",""
"9754","src_asn_edu_","CHOSUN UNIVERSITY",""
"9775","src_asn_edu_","Hannam University",""
"9778","src_asn_edu_","DAEJIN UNIVERSITY",""
"9868","src_asn_edu_","Catholic University of DAEGU",""
"9870","src_asn_edu_","DONG-EUI UNIVERSITY",""
"9916","src_asn_edu_","National Yang Ming Chiao Tung University",""
"9955","src_asn_edu_","Baekseok University",""
"9962","src_asn_edu_","Sunchon National University",""
"9978","src_asn_edu_","The University of Seoul",""
"9982","src_asn_edu_","PAICHAI UNIVERSITY",""
"9991","src_asn_edu_","Hiroshima Shudo University",""
"10045","src_asn_edu_","Hanbat National University",""
"10053","src_asn_edu_","yeonsung University",""
"10088","src_asn_edu_","KWANGWOON UNIVERSITY",""
"10148","src_asn_edu_","The University of Melbourne Melbourne Victoria",""
"10159","src_asn_edu_","Korea Aerospace University",""
"10180","src_asn_edu_","Duksung Womens University",""
"10197","src_asn_edu_","Chonnam National University",""
"10421","src_asn_edu_","Texas Tech University",""
"10508","src_asn_edu_","University of Arkansas",""
"10546","src_asn_edu_","Mississippi State University",""
"10631","src_asn_edu_","Georgia State University",""
"10680","src_asn_edu_","Indiana University",""
"10755","src_asn_edu_","Dartmouth College",""
"10952","src_asn_edu_","East Carolina University",""
"10961","src_asn_edu_","Boston GigaPoP",""
"11078","src_asn_edu_","Brown University",""
"11128","src_asn_edu_","Berry College",""
"11257","src_asn_edu_","University of Lethbridge",""
"11279","src_asn_edu_","George Mason University",""
"11348","src_asn_edu_","Missouri University of Science and Technology",""
"11417","src_asn_edu_","Northern Illinois University",""
"11442","src_asn_edu_","North Carolina State University",""
"11736","src_asn_edu_","University of South Dakota",""
"11745","src_asn_edu_","University System of New Hampshire",""
"11773","src_asn_edu_","The University Of Texas M.D. Anderson Cancer Center",""
"11809","src_asn_edu_","Embry-Riddle University",""
"11834","src_asn_edu_","Drexel University",""
"11872","src_asn_edu_","Syracuse University",""
"11975","src_asn_edu_","The College of William and Mary",""
"11995","src_asn_edu_","Oregon Health and Sciences University",""
"12005","src_asn_edu_","University of South Carolina",""
"12013","src_asn_edu_","Florida Atlantic University",""
"12093","src_asn_edu_","University of Waterloo",""
"12118","src_asn_edu_","WVU",""
"12145","src_asn_edu_","Colorado State University",""
"12148","src_asn_edu_","Clemson University",""
"12324","src_asn_edu_","Maria Curie-Sklodowska University",""
"12346","src_asn_edu_","Maria Curie-Sklodowska University",""
"12402","src_asn_edu_","University of Piraeus",""
"12423","src_asn_edu_","Nicolaus Copernicus University in Torun",""
"12660","src_asn_edu_","Sharif University Of Technology",""
"12675","src_asn_edu_","Alexandru Ioan Cuza University",""
"12687","src_asn_edu_","URAN Association",""
"12831","src_asn_edu_","Technical University of Gdansk Academic Computer Center TASK",""
"12908","src_asn_edu_","Sabanci University",""
"12999","src_asn_edu_","Federal State Autonomous Educational Institution of Higher Education 'Far Eastern Federal University'",""
"13041","src_asn_edu_","CSUC",""
"13065","src_asn_edu_","Uniwersytet Zielonogorski",""
"13242","src_asn_edu_","Latvijas Biozinatnu un tehnologiju universitaete",""
"13303","src_asn_edu_","University of Nis",""
"13371","src_asn_edu_","DUKE-INTERCHANGE",""
"13476","src_asn_edu_","Montana State University",""
"13764","src_asn_edu_","Kwantlen Polytechnic University",""
"13796","src_asn_edu_","University of Connecticut",""
"13998","src_asn_edu_","University of Texas Southwestern Medical Center",""
"14048","src_asn_edu_","The University of Memphis",""
"14348","src_asn_edu_","University of Rhode Island",""
"14373","src_asn_edu_","University of Texas Medical Branch",""
"14426","src_asn_edu_","Grant MacEwan University",""
"14529","src_asn_edu_","Saint Joseph's University",""
"14737","src_asn_edu_","Colorado Community College and Occupational Education System",""
"14859","src_asn_edu_","CENTRAL ARIZONA COLLEGE",""
"15119","src_asn_edu_","Southern Illinois University Carbondale",""
"15318","src_asn_edu_","McGill University",""
"15496","src_asn_edu_","Aalto University",""
"15505","src_asn_edu_","King Abdulaziz University (KAU) - Deanship of Information Technology",""
"15633","src_asn_edu_","Universitat Oberta de Catalunya",""
"15744","src_asn_edu_","SASK-COM",""
"15798","src_asn_edu_","University of Warmia and Mazury in Olsztyn Poland",""
"16120","src_asn_edu_","Universitatea de Medicina si Farmacie 'Victor Babes' Timisoara",""
"16220","src_asn_edu_","Civil Engineering University of Bucharest",""
"16263","src_asn_edu_","Uniwersytet Radomski im. Kazimierza Pulaskiego",""
"16283","src_asn_edu_","Lodz University of Technology",""
"16461","src_asn_edu_","The University of Texas at El Paso",""
"16462","src_asn_edu_","University of Victoria",""
"16489","src_asn_edu_","Webster University",""
"16519","src_asn_edu_","University of Colorado Denver",""
"16826","src_asn_edu_","Johnson County Community College",""
"17055","src_asn_edu_","University of Utah",""
"17196","src_asn_edu_","College of duPage",""
"17342","src_asn_edu_","Hillsborough Community College",""
"17479","src_asn_edu_","Chiang Mai University",""
"17523","src_asn_edu_","Aoyama Gakuin University",""
"17553","src_asn_edu_","Bogor Agricultural University",""
"17575","src_asn_edu_","Chung-Ang University",""
"17687","src_asn_edu_","National University Corporation Nagoya University",""
"17713","src_asn_edu_","National Sun Yat-sen University",""
"17716","src_asn_edu_","National Taiwan University",""
"17827","src_asn_edu_","Sukhothai Thammathirat Open University",""
"17861","src_asn_edu_","KyungNam College of Information   Technology",""
"17862","src_asn_edu_","Kangwon National University",""
"17946","src_asn_edu_","Gifu University",""
"18026","src_asn_edu_","JEJU NATIONAL UNIVERSITY",""
"18028","src_asn_edu_","GyeongSang National University",""
"18031","src_asn_edu_","Sangmyung University",""
"18034","src_asn_edu_","Gangneung-Wonju National University",""
"18047","src_asn_edu_","National Tsing-Hua University",""
"18173","src_asn_edu_","Aga Khan University",""
"18276","src_asn_edu_","Kansai University",""
"18298","src_asn_edu_","Chungnam National University",""
"18324","src_asn_edu_","Masan College",""
"18330","src_asn_edu_","HONGIK UNIVERSITY",""
"18420","src_asn_edu_","National Central University",""
"18515","src_asn_edu_","UTARLINGTON",""
"18553","src_asn_edu_","University of West Florida",""
"18682","src_asn_edu_","AAMU-INTERNET",""
"19070","src_asn_edu_","Eastern Illinois University",""
"19106","src_asn_edu_","Andrews University",""
"19119","src_asn_edu_","Rollins College",""
"19464","src_asn_edu_","Washington & Lee University",""
"19764","src_asn_edu_","Georgian College of Applied Arts & Technology",""
"19927","src_asn_edu_","Lone Star College System District",""
"19999","src_asn_edu_","Union College",""
"20080","src_asn_edu_","AMPATH",""
"20085","src_asn_edu_","The University of Akron",""
"20252","src_asn_edu_","JSIWMC",""
"20306","src_asn_edu_","Adelphi University",""
"20633","src_asn_edu_","Goethe Universitaet Frankfurt",""
"20719","src_asn_edu_","Birzeit University",""
"21064","src_asn_edu_","University of Warmia and Mazury in Olsztyn Poland",""
"21143","src_asn_edu_","Tula State University",""
"21182","src_asn_edu_","Opole University",""
"21517","src_asn_edu_","Kennesaw State University",""
"22174","src_asn_edu_","State University of New York College of Technology at Alfred",""
"22323","src_asn_edu_","University of California Merced",""
"22354","src_asn_edu_","University of Dar es Salaam",""
"22847","src_asn_edu_","BOWDOIN",""
"22950","src_asn_edu_","University of Saskatchewan",""
"22985","src_asn_edu_","University of Louisiana at Lafayette",""
"23122","src_asn_edu_","Dakota State University",""
"23162","src_asn_edu_","UKYEDU",""
"23207","src_asn_edu_","Northwestern State University",""
"23237","src_asn_edu_","McMaster University",""
"23339","src_asn_edu_","Marymount University",""
"23484","src_asn_edu_","Pace University",""
"23668","src_asn_edu_","KOREA POLYTECHNIC UNIVERSITY",""
"23714","src_asn_edu_","Keimyung University",""
"23719","src_asn_edu_","University of Sydney",""
"23859","src_asn_edu_","University of New South Wales",""
"23862","src_asn_edu_","University of the Philippines Diliman",""
"23905","src_asn_edu_","Victoria University of Wellington",""
"23980","src_asn_edu_","Yeungnam University",""
"24020","src_asn_edu_","University ITM Shah Alam Selangor Malaysia",""
"24328","src_asn_edu_","Yala Rajabhat University Education",""
"24390","src_asn_edu_","University of the South Pacific",""
"24398","src_asn_edu_","Auckland University of Technology",""
"24434","src_asn_edu_","James Cook University",""
"24436","src_asn_edu_","University of Queensland",""
"24437","src_asn_edu_","University of Western Australia",""
"24453","src_asn_edu_","Chandrakasem Rajabahat University",""
"24526","src_asn_edu_","Bina Nusantara University",""
"24614","src_asn_edu_","Sakarya University",""
"24620","src_asn_edu_","RTU",""
"24839","src_asn_edu_","Universitatea Babes-Bolyai",""
"24848","src_asn_edu_","Kielce University of Technology",""
"25075","src_asn_edu_","SWPS UNIWERSYTET",""
"25242","src_asn_edu_","KUWAIT UNIVERSITY",""
"25304","src_asn_edu_","Universitatea TRANSILVANIA Brasov",""
"25468","src_asn_edu_","Rzeszow University of Technology",""
"25500","src_asn_edu_","Igor Sikorsky Kyiv Polytechnic Institute",""
"25584","src_asn_edu_","Opole University",""
"25656","src_asn_edu_","University of Mississippi",""
"25776","src_asn_edu_","University of Oklahoma",""
"25963","src_asn_edu_","Tarrant County College District",""
"25977","src_asn_edu_","HOUSTON COMMUNITY COLLEGE SYSTEM",""
"26335","src_asn_edu_","Middle Tennessee State University",""
"26367","src_asn_edu_","Bradley University",""
"26488","src_asn_edu_","Santa Clara University",""
"26732","src_asn_edu_","Wagner College",""
"26934","src_asn_edu_","University of Missouri-Columbia",""
"27198","src_asn_edu_","Indiana University External",""
"27274","src_asn_edu_","Central Michigan University",""
"27405","src_asn_edu_","University System of New Hampshire",""
"27609","src_asn_edu_","USC-University Hospital",""
"27817","src_asn_edu_","Red Nacional Académica de Tecnología Avanzada RENATA",""
"27883","src_asn_edu_","Universidad Tecnologica Nacional",""
"28067","src_asn_edu_","The University of the West IndiesSt Augustine Camp",""
"28678","src_asn_edu_","Technical University of Koszalin",""
"28949","src_asn_edu_","Technical University of Sofia",""
"29068","src_asn_edu_","University of Tehran",""
"29289","src_asn_edu_","Georgian Technical University",""
"29484","src_asn_edu_","Ruhr-Universitaet Bochum",""
"29577","src_asn_edu_","IUT-AS",""
"29683","src_asn_edu_","National Pirogov Memorial Medical University Vinnytsia",""
"29773","src_asn_edu_","Carleton University",""
"29871","src_asn_edu_","Savannah College of Art and Design",""
"29923","src_asn_edu_","Northland Pioneer College",""
"30045","src_asn_edu_","University Health Network",""
"30408","src_asn_edu_","Arkansas State University",""
"30703","src_asn_edu_","State University of New York Health Science Center at Syracuse",""
"30778","src_asn_edu_","Kielce University of Technology",""
"30847","src_asn_edu_","Lancaster University Network Services Limited",""
"30983","src_asn_edu_","MARWAN - Moroccan Academic Network",""
"31011","src_asn_edu_","University of Chemical Technology And Metallurgy",""
"31145","src_asn_edu_","State Higher Educational Institution 'Precarpathian National University of Vasyl Stefanyk'",""
"31822","src_asn_edu_","City University of New York",""
"31828","src_asn_edu_","Seton Hall University",""
"31861","src_asn_edu_","West Texas A&M University",""
"31960","src_asn_edu_","Eduardo Mondlane University",""
"31983","src_asn_edu_","Queen's University at Kingston",""
"32064","src_asn_edu_","American University",""
"32347","src_asn_edu_","Sir Sandford Fleming College of Applied Arts and Technology",""
"32531","src_asn_edu_","Fordham University",""
"32601","src_asn_edu_","Abilene Christian University",""
"32666","src_asn_edu_","Case Western Reserve University",""
"32726","src_asn_edu_","Liberty University",""
"32818","src_asn_edu_","Cleveland State University",""
"32907","src_asn_edu_","University of St. Thomas",""
"33091","src_asn_edu_","U Calgary",""
"33281","src_asn_edu_","BRIGHAM YOUNG UNIVERSITY - IDAHO",""
"33629","src_asn_edu_","Northern Kentucky University",""
"33632","src_asn_edu_","Morehead State University",""
"33670","src_asn_edu_","Nova University",""
"34707","src_asn_edu_","State Educational Institution of higher professional Education 'Kemerovo State University'",""
"34849","src_asn_edu_","Federal State Institution of Higher Professional Education 'Peoples Friendship University of Russia'",""
"34878","src_asn_edu_","Karlsruhe Institute of Technology (KIT)",""
"35043","src_asn_edu_","Allameh Tabataba'i University",""
"35656","src_asn_edu_","JUNet",""
"35686","src_asn_edu_","Nicolaus Copernicus University in Torun",""
"36319","src_asn_edu_","NorthShore University HealthSystem",""
"36368","src_asn_edu_","Oberlin College",""
"36375","src_asn_edu_","University of Michigan",""
"36441","src_asn_edu_","University of Georgia",""
"36850","src_asn_edu_","University of North Carolina at Chapel Hill",""
"36982","src_asn_edu_","University of Cape Town",""
"37074","src_asn_edu_","University of Ghana",""
"37170","src_asn_edu_","University of Lagos",""
"37218","src_asn_edu_","The University of Dodoma",""
"37297","src_asn_edu_","Obafemi Awolowo University Ife",""
"37443","src_asn_edu_","Usmanu Danfodiyo University",""
"37501","src_asn_edu_","University of the Free State",""
"37513","src_asn_edu_","Namibia University of Science and Technology",""
"37520","src_asn_edu_","Rhodes University",""
"37568","src_asn_edu_","National University of Science and Technology",""
"37932","src_asn_edu_","Rajamangala University of Technology Isan",""
"38280","src_asn_edu_","Monash University Malaysia",""
"38635","src_asn_edu_","Keio University",""
"38727","src_asn_edu_","HaNoi University of science and technology",""
"38845","src_asn_edu_","Fu Jen Catholic University",""
"39131","src_asn_edu_","State Educational Institution of higher professional Education 'Dagestan State University'",""
"39815","src_asn_edu_","'Lucian Blaga' University of Sibiu",""
"39857","src_asn_edu_","Aalto University Student Union",""
"39943","src_asn_edu_","St. Francis College",""
"40102","src_asn_edu_","Montgomery College",""
"40204","src_asn_edu_","Jacksonville State University",""
"40947","src_asn_edu_","Franklin W. Olin College Of Engineering",""
"40981","src_asn_edu_","University of Montenegro me.mren",""
"41620","src_asn_edu_","Iran University Of Science and Technology",""
"42594","src_asn_edu_","FUNDACJA UNIWERSYTETU IM. ADAMA MICKIEWICZA W POZNANIU",""
"43965","src_asn_edu_","Tehran University of Medical Science",""
"44805","src_asn_edu_","New Bulgarian University",""
"44959","src_asn_edu_","Uniwersytet Kardynala Stefana Wyszynskiego",""
"44971","src_asn_edu_","University of Kent",""
"45209","src_asn_edu_","University of the Philippines Los Banos",""
"45340","src_asn_edu_","BMS College of Engineering AS45340",""
"45344","src_asn_edu_","International Islamic University Of Malaysia",""
