"file","kind","match"
"hosting","*","src_asn_hosting"
"education","*","src_asn_education"
"isp","*","src_asn_isp"
"cdn","*","src_asn_cdn"
"cloud","*","src_asn_cloud"
"crawler","*","src_asn_crawler"
"proxy","*","src_asn_proxy"
"scanner","*","src_asn_scanner"
"vpn","*","src_asn_vpn"
