"asn","match_name","organization","comment"
"6580","src_asn_isp_","Golden West Telecommunications",""
"6648","src_asn_isp_","Bayan Telecommunications Inc.",""
"6663","src_asn_isp_","Türk Telekom International",""
"6697","src_asn_isp_","Beltelecom",""
"6700","src_asn_isp_","BeotelNet-ISP",""
"6703","src_asn_isp_","PRIVATE JOINT-STOCK COMPANY 'FARLEP-INVEST'",""
"6713","src_asn_isp_","MAROC TELECOM",""
"6730","src_asn_isp_","Sunrise GmbH",""
"6752","src_asn_isp_","ANDORRA TELECOM",""
"6758","src_asn_isp_","Monaco Telecom",""
"6762","src_asn_isp_","Telecom Italia Sparkle",""
"6768","src_asn_isp_","EUROTELE-PLUS",""
"6769","src_asn_isp_","Kertinis valstybes telekomunikaciju centras",""
"6775","src_asn_isp_","Fink Telecom Services GmbH",""
"6794","src_asn_isp_","HRT - Croatian Radio Television",""
"6805","src_asn_isp_","Telefónica Germany GmbH & Co. OHG",""
"6810","src_asn_isp_","Bezeq",""
"6821","src_asn_isp_","Makedonski Telekom",""
"6823","src_asn_isp_","3C1B Telekom",""
"6828","src_asn_isp_","",""
"6848","src_asn_isp_","Telenet",""
"6849","src_asn_isp_","Ukrtelecom",""
"6855","src_asn_isp_","Slovak Telekom/T-Mobile CZ",""
"7004","src_asn_isp_","CTC Transmisiones Regionales S.A.",""
"7015","src_asn_isp_","Comcast - New England",""
"7057","src_asn_isp_","MNSI Telecom",""
"7063","src_asn_isp_","LESTE FLU SERVIÇOS DE TELECOM",""
"7303","src_asn_isp_","TELECOM ARGENTINA",""
"7418","src_asn_isp_","Movistar ISP",""
"7438","src_asn_isp_","Telefonica Mexico (Movistar)",""
"7474","src_asn_isp_","SingTel Optus",""
"7516","src_asn_isp_","Tohoku Intelligent Telecommunication",""
"7545","src_asn_isp_","TPG Telecom",""
"7552","src_asn_isp_","Viettel",""
"7602","src_asn_isp_","Saigon Postel Corp.",""
"7616","src_asn_isp_","JasTel Network",""
"7643","src_asn_isp_","Vietnam Posts and Telecommunications (VNPT)",""
"7713","src_asn_isp_","Telekomunikasi Indonesia Int (TELIN)",""
"7727","src_asn_isp_","HONDUTEL (Honduras)",""
