"file","kind","match"
"ai","*","src_net_ai"
"cdn","*","src_net_cdn"
"crawler","*","src_net_crawler"
"ecommerce","*","src_net_ecommerce"
"monitoring","*","src_net_monitoring"
"proxy","*","src_net_proxy"
"vpn","*","src_net_vpn"
