"organization","match_name","url","format","jsonpath_rfc9535","jsonpath_jq","regex","csv_field","plain","docs_url"
"OpenAI","src_net_crawler_openai_search","https://openai.com/searchbot.json","json","$.prefixes.*['ipv4Prefix','ipv6Prefix']","[.prefixes[] | .ipv4Prefix, .ipv6Prefix | select( . != null )]","","","","https://platform.openai.com/docs/bots"
"OpenAI","src_net_crawler_openai_user","https://openai.com/chatgpt-user.json","json","$.prefixes.*['ipv4Prefix','ipv6Prefix']","[.prefixes[] | .ipv4Prefix, .ipv6Prefix | select( . != null )]","","","","https://platform.openai.com/docs/bots"
"OpenAI","src_net_crawler_openai_aidata","https://openai.com/gptbot.json","json","$.prefixes.*['ipv4Prefix','ipv6Prefix']","[.prefixes[] | .ipv4Prefix, .ipv6Prefix | select( . != null )]","","","","https://platform.openai.com/docs/bots"
"Perplexity","src_net_crawler_perplexity_user","https://www.perplexity.com/perplexity-user.json","json","$.prefixes.*['ipv4Prefix','ipv6Prefix']","[.prefixes[] | .ipv4Prefix, .ipv6Prefix | select( . != null )]","","","","https://docs.perplexity.ai/guides/bots"
"Perplexity","src_net_crawler_perplexity_aidata","https://www.perplexity.com/perplexitybot.json","json","$.prefixes.*['ipv4Prefix','ipv6Prefix']","[.prefixes[] | .ipv4Prefix, .ipv6Prefix | select( . != null )]","","","","https://docs.perplexity.ai/guides/bots"
"Mistral AI","src_net_crawler_mistralai","https://mistral.ai/mistralai-user-ips.json","json","$.prefixes.*['ipv4Prefix','ipv6Prefix']","[.prefixes[] | .ipv4Prefix, .ipv6Prefix | select( . != null )]","","","","https://docs.mistral.ai/robots"
"DuckDuckGo","src_net_crawler_duckduckgo_aiuser","https://duckduckgo.com/duckassistbot.json","json","$.prefixes.*['ipv4Prefix','ipv6Prefix']","[.prefixes[] | .ipv4Prefix, .ipv6Prefix | select( . != null )]","","","","https://duckduckgo.com/duckduckgo-help-pages/results/duckassistbot"
"Amazon","src_net_crawler_amazon_main","https://developer.amazon.com/amazonbot/ip-addresses/","regex-json","$.prefixes.*['ipv4Prefix', 'ipv6Prefix']","[.prefixes[] | .ipv4Prefix, .ipv6Prefix | select( . != null )]","(?s)<pre><code class=""container"">(\{.*?\})<\/code><\/pre>","","","Does not seem like they have/use an API for it.. :'( https://developer.amazon.com/amazonbot"
